feature,bucket,sample_size,n_unsatisfied,target_rate,lift
var15,<23,1212,0,0.0,0.0
var15,23-30,40650,671,0.016506765067650676,0.4171689762110387
var15,30-45,20968,1426,0.06800839374284624,1.7187493658015864
var15,45-60,9224,706,0.07653946227233305,1.9343517027735235
var15,60+,3966,205,0.051689359556227936,1.3063248382528085
saldo_var30_binary,=0,20430,1807,0.08844836025452765,2.2353205939325775
saldo_var30_binary,>0,55590,1201,0.02160460514481022,0.5460046818844657
saldo_var30_quintile,"(-4942.261, 0.0]",20430,1807,0.08844836025452765,2.2353205939325775
saldo_var30_quintile,"(0.0, 3.0]",19151,399,0.020834421179050704,0.5265401256753439
saldo_var30_quintile,"(3.0, 30.0]",6303,270,0.042836744407425034,1.0825961801371182
saldo_var30_quintile,"(30.0, 709.8]",14932,307,0.02055987141709081,0.519601537608791
saldo_var30_quintile,"(709.8, 3458077.32]",15204,225,0.014798737174427782,0.3740026595744681
ind_var30,0,20310,1786,0.0879369768586903,2.222396602658789
ind_var30,1,55710,1222,0.021935020642613535,0.5543551427032849
ind_var26_cte,0,73925,2868,0.038796077105174166,0.9804779858827595
ind_var26_cte,1,2095,140,0.06682577565632458,1.6888615243995329
