feature,mean_abs_shap,shap_pct
var15,0.9650776,0.30705154
saldo_var30,0.41471723,0.13194749
saldo_medio_var5_hace3,0.18697506,0.05948846
saldo_medio_var5_ult3,0.113910966,0.036242202
saldo_medio_var5_hace2,0.10686306,0.033999823
var38_log,0.10440088,0.03321645
var38,0.10182277,0.03239619
saldo_medio_var5_ult1,0.10149645,0.03229237
zero_count,0.065390676,0.020804863
num_var22_ult3,0.05819302,0.01851484
num_var45_hace3,0.05655038,0.017992213
saldo_var5,0.04899457,0.015588237
num_meses_var39_vig_ult3,0.045534447,0.014487355
imp_op_var41_efect_ult3,0.040119298,0.012764458
num_var22_ult1,0.035717763,0.011364054
num_var22_hace3,0.030403286,0.009673187
ind_var30,0.027176281,0.008646475
num_var45_hace2,0.02671124,0.008498516
imp_op_var41_comer_ult3,0.024862558,0.0079103345
saldo_var37,0.024760908,0.007877993
