seed,fold,model_random_state,fold_auc
42,1,43,0.831333
42,2,44,0.839319
42,3,45,0.838266
42,4,46,0.832877
42,5,47,0.843695
42,seed_oof,,0.836948
2024,1,2025,0.838361
2024,2,2026,0.840984
2024,3,2027,0.842876
2024,4,2028,0.834359
2024,5,2029,0.831895
2024,seed_oof,,0.837431
3407,1,3408,0.839293
3407,2,3409,0.835217
3407,3,3410,0.839196
3407,4,3411,0.849978
3407,5,3412,0.831248
3407,seed_oof,,0.838669
8803,1,8804,0.824359
8803,2,8805,0.848589
8803,3,8806,0.836619
8803,4,8807,0.844819
8803,5,8808,0.839193
8803,seed_oof,,0.83849
9187,1,9188,0.837455
9187,2,9189,0.838596
9187,3,9190,0.830617
9187,4,9191,0.84002
9187,5,9192,0.845505
9187,seed_oof,,0.838185
all,mean_oof,,0.840037
