seed,fold,model_random_state,fold_auc
42,1,43,0.833407
42,2,44,0.840847
42,3,45,0.838637
42,4,46,0.834355
42,5,47,0.84428
42,seed_oof,,0.83818
2024,1,2025,0.838429
2024,2,2026,0.840719
2024,3,2027,0.84365
2024,4,2028,0.833622
2024,5,2029,0.833716
2024,seed_oof,,0.837754
3407,1,3408,0.840003
3407,2,3409,0.835011
3407,3,3410,0.838366
3407,4,3411,0.848162
3407,5,3412,0.830733
3407,seed_oof,,0.838132
8803,1,8804,0.825871
8803,2,8805,0.846225
8803,3,8806,0.837101
8803,4,8807,0.842985
8803,5,8808,0.839287
8803,seed_oof,,0.838078
9187,1,9188,0.836675
9187,2,9189,0.839287
9187,3,9190,0.830868
9187,4,9191,0.840368
9187,5,9192,0.845243
9187,seed_oof,,0.838161
all,mean_oof,,0.84026
